Anrede,Titel,Vorname,Nachname,Adresse,Firma,E-Mail,Telefon-Nr.,Geburtstag
Herr,,Peter,Trüb,"Hans-Hertrampf-Allee 1, 97052 Hainichen",Dietz AG,peter.trueb@dietzag.eu,+49 (0) 7502 624550,25.07.1993
Herr,,Jonas,Gunpf,"Elif-Pölitz-Gasse 65, 75856 Kelheim",Gierschner Nerger GmbH & Co. OHG,jonas.gunpf@gierschnernerger.com,+49 (0) 1852 869718,15.11.2004
Herr,,Lucas,Schlosser,"Miodrag-Grein Groth-Gasse 1, 10771 Säckingen",Pohl Hamann KG,lucas.schlosser@pohl_hamann.eu,+49 (0) 3401 945501,21.04.1974
Herr,,Dieter,Gerlach,"Undine-Wilms-Weg 86, 28118 Schwäbisch Hall",Berger Salz GmbH,dieter.gerlach@berger-salz.eu,(03745) 741904,29.09.1998
Frau,,Sophie,Mitschke,"Rudolf-Johann-Ring 40, 79063 Eisenach",Henk,sophie.mitschke@henk.de,+49(0)9365700676,14.10.1966
Frau,,Sofia,Lindner,"Gumprichgasse 21, 67529 Neuss",Hiller,sofia.lindner@hiller.eu,05170 35282,16.04.1959
Frau,,Carla,Stiebitz,"Roggering 5, 36934 Grimma",Losekann,carla.stiebitz@losekann.eu,+49(0)1342 170818,26.02.1974
Frau,Dr.,Eva,Zimmer,"Etta-Oestrovsky-Platz 79, 04442 Eckernförde",Gutknecht Jacob GmbH & Co. KGaA,eva.zimmer@gutknecht-jacob.com,+49(0) 089285688,30.11.1978
Frau,,Maria,Jopich,"Heinz-Peter-Wagner-Gasse 79, 94983 Wertingen",Kallert Hein AG,maria.jopich@kallert_hein.com,08506 97535,22.07.1971
Frau,,Sofia,Etzold,"Junitzgasse 69, 63626 Dachau",Bolnbach,sofia.etzold@bolnbach.eu,(09142) 31907,01.06.1984
Frau,,Anna,Stroh,"Loosring 23, 62626 Grimmen",Gute Vogt Stiftung & Co. KGaA,anna.stroh@gute_vogt.de,(09341) 54841,15.09.1956
Herr,,Philipp,Bähr,"Erika-Trub-Straße 89, 21548 Diepholz",Heidrich Spieß AG,philipp.baehr@heidrichspiess.eu,+49(0)8313 433666,18.07.1999
Herr,,Justus,Bolander,"Reginald-Dehmel-Platz 18, 74245 Greifswald",Bauer,justus.bolander@bauer.com,+49 (0) 2536 351660,27.03.1960
Herr,,Max,Döring,"Blümelallee 8, 03021 Goslar",Junk,max.doering@junk.de,01684980171,01.06.1962
Frau,,Antje,Gunpf,"Katharina-Wulff-Weg 71, 65105 Anklam",Drub,antje.gunpf@drub.eu,03652 369173,18.08.2003
Frau,,Sofia,Caspar,"Robert-Bolzmann-Platz 94, 78102 Grevenbroich",Bien,sofia.caspar@bien.com,(04361) 04639,03.02.1982
Herr,,Peter,Geißler,"Aline-Lorch-Allee 38, 88532 Jena",Baum AG,peter.geissler@baum-ag.eu,07451 44505,28.09.1963
Herr,,Justus,Schacht,"Gerhard-Hettner-Gasse 18, 76027 Strasburg",Mude GbR,justus.schacht@mude-gbr.com,+49 (0) 7834 273431,21.10.1960
Frau,,Heidi,Rosemann,"Marcus-Wohlgemut-Straße 78, 89133 Dresden",Johann Hein AG,heidi.rosemann@johann_hein.eu,08574 00421,29.07.1994
Frau,,Emma,Dobes,"Hornichring 71, 97521 Ilmenau",Meister AG,emma.dobes@meister_ag.de,+49(0) 575801117,18.09.1992
Herr,,Paul,Weiß,"Reichmannplatz 18, 24041 Gadebusch",Ring Steckel AG,paul.weiss@ring-steckel.de,0057136390,17.02.1955
Herr,,Jonas,Dowerg,"Reichmannallee 41, 54336 Altentreptow",Steckel Klingelhöfer e.G.,jonas.dowerg@steckel_klingelhoefer.com,08418 41021,03.09.1992
Frau,,Emma,Stiebitz,"Julius-Hörle-Ring 18, 30617 Riesa",Putz,emma.stiebitz@putz.eu,+49(0)6083139492,02.12.1979
Herr,,Michael,Hecker,"Diethard-Johann-Allee 54, 52853 Ludwigslust",Knappe Hande KG,michael.hecker@knappe_hande.eu,(02472) 700278,23.06.1961
Herr,,Lucas,Geisel,"Rosemannstraße 72, 95846 Uelzen",Rust GmbH,lucas.geisel@rust_gmbh.com,0644577498,18.06.1996
Frau,,Eva,Pruschke,"Lutz-Oestrovsky-Platz 22, 83710 Celle",Hering GmbH & Co. KGaA,eva.pruschke@hering-gmbh.de,+49(0)2495 62097,31.03.1972
Herr,,Noah,Siering,"Hans-Dietrich-Mangold-Allee 14, 93300 Altentreptow",Hein,noah.siering@hein.de,(04264) 52995,17.01.1958
Herr,,Michael,Scholl,"Heinzweg 97, 32397 Warendorf",Henck Schmidt e.V.,michael.scholl@henck-schmidt.de,+49(0)1586920510,30.07.1958
Herr,,Noah,Drub,"Dominik-Ullmann-Weg 74, 63447 Halberstadt",Fechner KGaA,noah.drub@fechner_kgaa.com,0773737895,09.10.1962
Frau,,Eva,Wähner,"Roseplatz 17, 49080 Haldensleben",Ehlert GmbH,eva.waehner@ehlert_gmbh.de,0606499826,19.05.1973
Herr,,Rudolf,Ernst,"Heidrichstraße 20, 06489 Dessau",Kaul Benthin GmbH,rudolf.ernst@kaul_benthin.de,+49(0)1370 63878,14.01.1983
Herr,Dr.,Noah,Stumpf,"Blochring 60, 39307 Lübeck",Wähner,noah.stumpf@waehner.eu,0989610698,12.05.1973
Frau,,Eva,Heinz,"Fröhlichallee 76, 45953 Weimar",Klapp AG & Co. KG,eva.heinz@klapp_ag.de,+49(0)2526 574382,10.06.1958
Herr,,Jonas,Gunpf,"Drubinring 80, 10633 Staßfurt",Hermighausen OHG mbH,jonas.gunpf@hermighausen-ohg.eu,(07478) 81347,12.12.1998
Frau,,Sophie,Geisel,"Mendering 42, 12576 Schwarzenberg",Pieper Römer AG,sophie.geisel@pieperroemer.com,03440 007183,24.02.1965
Frau,,Maria,Ditschlerin,"Viviane-Ehlert-Platz 62, 64448 Neunburg vorm Wald",Hande,maria.ditschlerin@hande.de,+49(0)8193 44392,30.08.1998
Frau,,Eva,Lehmann,"Bastian-Nette-Platz 78, 90867 Wolfratshausen",Weller GmbH,eva.lehmann@wellergmbh.eu,(07625) 136635,14.06.1953
Frau,,Eva,Bärer,"Kraushaarallee 27, 18014 Wolmirstedt",Kroker AG,eva.baerer@krokerag.com,0103389461,02.06.2001
Frau,,Sophie,Mitschke,"Truppring 25, 61167 Nabburg",Vogt GbR,sophie.mitschke@vogtgbr.com,0959282186,06.04.1965
Herr,,Ben,Kaul,"Möchlichenplatz 95, 38607 Greiz",Bohnbach,ben.kaul@bohnbach.de,(01913) 912853,04.07.1993
Herr,,Ben,Jacobi Jäckel,"Niemeierplatz 84, 42599 Wunsiedel",Weimer Atzler GmbH & Co. KG,ben.jacobijaeckel@weimeratzler.eu,+49(0) 254792009,25.03.2005
Frau,,Antje,Löffler,"Tony-Eckbauer-Weg 82, 38466 Bitterfeld",Blümel GmbH,antje.loeffler@bluemel-gmbh.eu,03569 11347,08.06.1979
Frau,,Marie,Bolander,"Jacobstraße 61, 27756 Rostock",Franke Bender AG,marie.bolander@franke_bender.eu,+49(0)5174 42825,28.08.2002
Herr,,Paul,Stolze,"Neuschäferring 94, 35778 Gelnhausen",Jacob Rudolph GmbH,paul.stolze@jacobrudolph.eu,+49(0)1901 91274,25.03.1964
Herr,,Jonas,Herrmann,"Knappestraße 92, 60037 Aschaffenburg",Ruppersberger GbR,jonas.herrmann@ruppersbergergbr.de,+49(0)5429 42662,03.05.1962
